"Niveau 1";"Niveau 2";"Niveau 3";"Niveau 4";"Niveau 5";"Niveau 6";"Niveau 7";"Niveau 8";"Niveau 9";"Priorité";"Progression";"Date de début";"Échéance";"Durée (jours)";Effort (jours);"Jalon";"Ressources";
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84B";"84B Autres demandes relatives à la désignation du représentant des salariés ou des institutions représentatives du personnel";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84C";"84C Demande en annulation de la décision de remplacement du représentant des salariés ou des institutions représentatives du personnel";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84D";"84D Action en responsabilité civile exercée contre le représentant des salariés, des institutions représentatives ou des représentants du personnel, pour manquement à l'obligation de discrétion";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84E";"84E Demande consécutive à une autorisation de licenciements pour motif économique";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84F";"84F Demande d'indemnités ou de salaires liée ou non à la rupture du contrat de travail, présentée après l'ouverture d'une procédure collective";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84G";"84G Demande en relevé de forclusion opposable à un salarié";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84H";"84H Demande de l'A.G.S. en paiement des cotisations contre un employeur soumis à l'obligation d'assurance des créances salariales";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84I";"84I Demande de l'A.G.S. d'un administrateur judiciaire, d'un représentant des créanciers, ou mandataire liquidateur contre un salarié";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84J";"84J Contestation de la rupture du contrat de travail présentée après l'ouverture d'une procédure collective";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84K";"84K Demande d'indemnités ou de salaires sans contestation de la rupture du contrat de travail présentée après l'ouverture d'une procédure collective";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84L";"84L Demande en relevé de forclusion opposable à un salarié";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84M";"84M Demande de l'A.G.S. en paiement des cotisations contre un employeur soumis à l'obligation d'assurance des créances salariales";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"84 Condition du personnel dans les procédures de sauvegarde, de redressement ou de liquidation judiciaire";"84N";"84N Demande de l'A.G.S. d'un administrateur judiciaire, d'un représentant des créanciers, ou mandataire liquidateur contre un salarié";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"85 Conflits collectifs du travail";"85A";"85A Demande d'expulsion d'occupants des lieux de travail";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"85 Conflits collectifs du travail";"85B";"85B Demande tendant à la réouverture des locaux de travail";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"85 Conflits collectifs du travail";"85C";"85C Autres demandes de l'employeur relatives à un mouvement collectif";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"85 Conflits collectifs du travail";"85D";"85D Autres demandes d'un syndicat ou d'un salarié en matière de conflits collectifs";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"86 Négociation collective";"86A";"86A Demande relative à l'ouverture ou au déroulement d'une négociation collective";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"86 Négociation collective";"86B";"86B Demande en nullité d'une clause, d'une convention ou d'un accord collectif";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"86 Négociation collective";"86C";"86C Demande en appréciation de validité d'une clause conventionnelle";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"86 Négociation collective";"86D";"86D Demande en exécution d'engagements conventionnels, ou tendant à sanctionner leur inexécution";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"86 Négociation collective";"86E";"86E Demande relative au fonctionnement d'un organisme créé par une convention ou un accord collectif de travail";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"86 Négociation collective";"86F";"86F Demande en exécution d'un accord de conciliation, d'un accord sur une recommandation de médiateur, d'une sentence arbitrale, ou tendant à sanctionner leur inexécution";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"86 Négociation collective";"86G";"86G Demande relative à la validité d'une clause d'un accord ou d'un accord de conciliation ou d'un accord sur une recommandation de médiateur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"87 Formation et insertion professionnelles";"87A";"87A Demande relative à la validité, l'exécution ou la résiliation du contrat d'apprentissage formée par l'apprenti";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"87 Formation et insertion professionnelles";"87B";"87B Demande relative à la validité, l'exécution ou la résiliation du contrat d'apprentissage formée par l'employeur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"87 Formation et insertion professionnelles";"87C";"87C Demande formée par un employeur ou un salarié contre un organisme de formation, un organisme paritaire collecteur agrée ou un fonds d'assurance formation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"87 Formation et insertion professionnelles";"87D";"87D Demande formée par un organisme de formation ou d'un fonds d'assurance- formation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"87 Formation et insertion professionnelles";"87E";"87E Demande relative au fonctionnement d'un organisme de formation professionnelle";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"87 Formation et insertion professionnelles";"87F";"87F Autres demandes en matière d'apprentissage";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.1. Contentieux du travail";"87 Formation et insertion professionnelles";"87X";"87X Formation et insertion professionnelles- nature d'affaire indéterminée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux général";"88 Protection sociale";"88A";"88A Contestation d'une décision d'un organisme portant sur l'immatriculation, l'affiliation ou un refus de reconnaissance d'un droit";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux général";"88 Protection sociale";"88B";"88B Demande d'annulation d'une mise en demeure ou d'une contrainte";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux général";"88 Protection sociale";"88C";"88C Demande en paiement de cotisations, majorations de retard et/ou pénalités";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux général";"88 Protection sociale";"88D";"88D Demande en remboursement de cotisations, prestations ou allocations indues";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux général";"88 Protection sociale";"88E";"88E Demande en paiement de prestations";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux général";"88 Protection sociale";"88F";"88F Demande en dommages-intérêts contre un organisme";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux général";"88 Protection sociale";"88G";"88G Autres demandes contre un organisme";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux général";"88 Protection sociale";"88H";"88H Autres demandes d'un organisme, ou au profit d'un organisme";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux général";"88 Protection sociale";"88I";"88I Demande en nullité d'une décision de justice";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux général";"88 Protection sociale";"88J";"88J Demande relative à une élection à un organisme de protection sociale";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux général";"88 Protection sociale";"88K";"88K Demande en répétition de prestations ou allocations indûment versées.";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux de l'incapacité";"88 Protection sociale";"88L";"88L Majeur handicapé - Contestation d'une décision relative à l'attribution d'un taux";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux de l'incapacité";"88 Protection sociale";"88M";"88M Majeur handicapé - Contestation d'une décision relative à une allocation";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux de l'incapacité";"88 Protection sociale";"88N";"88N Majeur handicapé - Contestation d'une décision relative à l'affiliation, à l'orientation et au placement";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux de l'incapacité";"88 Protection sociale";"88O";"88O Majeur handicapé - Contestation d'une décision relative aux cartes";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux de l'incapacité";"88 Protection sociale";"88P";"88P Mineur handicapé - Contestation d'une décision relative à l'attribution d'un taux";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux de l'incapacité";"88 Protection sociale";"88Q";"88Q Mineur handicapé - Contestation d'une décision relative à une allocation";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux de l'incapacité";"88 Protection sociale";"88R";"88R Mineur handicapé - Contestation d'une décision relative à l'orientation et au placement";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux de l'incapacité";"88 Protection sociale";"88S";"88S Mineur handicapé - Contestation d'une décision relative aux cartes";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux de l'incapacité";"88 Protection sociale";"88T";"88T Invalidité - Contestation relative à une décision de reconnaissance";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux de l'incapacité";"88 Protection sociale";"88U";"88U Invalidité - Contestation d'une décision relative à une allocation";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux de l'incapacité";"88 Protection sociale";"88V";"88V Inaptitude - Contestation d'une décision relative à l'inaptitude";;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"1. Social";"1.2. Contentieux de la protection sociale";"Contentieux de l'aide sociale";"88 Protection sociale";"88W";"88W Aide sociale - Contestation d'une décision relative à une allocation santé";;;;;;;;;;
